manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1038/ni1206	doi:10.1038/ni1206	doi:10.1038/ni1206	1CM2XNmEu
doi:10.1038/nri1180	doi:10.1038/nri1180	doi:10.1038/nri1180	2UVALt6Y
doi:10.1038/srep27394	doi:10.1038/srep27394	doi:10.1038/srep27394	74L3Nd4O
doi:10.1080/13102818.2019.1611385	doi:10.1080/13102818.2019.1611385	doi:10.1080/13102818.2019.1611385	9l6zlx9q
doi:10.1084/jem.103.5.589	doi:10.1084/jem.103.5.589	doi:10.1084/jem.103.5.589	62k2gfCO
doi:10.1172/JCI112120	doi:10.1172/JCI112120	doi:10.1172/jci112120	16FKFBkmf
pmid:10333735	pmid:10333735	pmid:10333735	1pS3Miam
pmid:10577203	pmid:10577203	pmid:10577203	7qsa1UP8
pmid:11786250	pmid:11786250	pmid:11786250	xUHu9f2O
pmid:12183052	pmid:12183052	pmid:12183052	XvDaahua
pmid:12492457	pmid:12492457	pmid:12492457	allsVQG0
pmid:1339298	pmid:1339298	pmid:1339298	1IKXkfZm
pmid:15557657	pmid:15557657	pmid:15557657	8aTHmS0i
pmid:16251296	pmid:16251296	pmid:16251296	oqzCcpDn
pmid:16710608	pmid:16710608	pmid:16710608	MReMEWFI
pmid:17060476	pmid:17060476	pmid:17060476	x4N7yhGX
pmid:17303777	pmid:17303777	pmid:17303777	kry3Yo4l
pmid:18006661	pmid:18006661	pmid:18006661	MW4fGdiW
pmid:19186224	pmid:19186224	pmid:19186224	1EflBGC7z
pmid:1988144	pmid:1988144	pmid:1988144	6HutrDhd
pmid:19889461	pmid:19889461	pmid:19889461	Bn8jmGBq
pmid:22102811	pmid:22102811	pmid:22102811	AhUehq75
pmid:22642099	pmid:22642099	pmid:22642099	YX3O9ORd
pmid:24095897	pmid:24095897	pmid:24095897	1GkkpAFFd
pmid:24828484	pmid:24828484	pmid:24828484	F2jL9mzi
pmid:28715972	pmid:28715972	pmid:28715972	udgq3Sc1
pmid:30761155	pmid:30761155	pmid:30761155	irzZhC46
pmid:31126693	pmid:31126693	pmid:31126693	IBDRkJyD
pmid:7589491	pmid:7589491	pmid:7589491	Gq3fYI79
pmid:8601627	pmid:8601627	pmid:8601627	AMwuDxWz
